Number;Input;Output;KotF_now;Frequency;;
1;220;0;0;0;;
2;219,9879373;0;0;1;;
3;219,9517504;1759,770813;7,998958242;2;;
4;219,8914433;1759,408961;7,998958242;3;;
5;219,8070226;1758,854171;7,998958242;4;;
6;219,6984976;1758,106502;7,998958242;5;;
7;219,5658803;1757,166037;7,998958242;6;;
8;219,409185;1756,032878;7,998958242;7;;
9;219,228429;1754,707151;7,998958242;8;;
10;219,0236322;1753,189001;7,998958242;9;;
11;218,794817;1751,478594;7,998958242;10;;
12;218,5420084;1749,576117;7,998958242;11;;
13;218,2652343;1747,481779;7,998958242;12;;
14;217,9645249;1745,195811;7,998958242;13;;
15;217,6399133;1742,718462;7,998958242;14;;
16;217,2914349;1740,050004;7,998958242;15;;
17;216,9191282;1737,190731;7,998958242;16;;
18;216,5230338;1734,140954;7,998958242;17;;
19;216,1031952;1730,90101;7,998958242;18;;
20;215,6596584;1727,471253;7,998958242;19;;
21;215,1924722;1723,852059;7,998958242;20;;
22;214,7016876;1720,043825;7,998958242;21;;
23;214,1873586;1716,04697;7,998958242;22;;
24;213,6495416;1711,86193;7,998958242;23;;
25;213,0882954;1707,489165;7,998958242;24;;
26;212,5036818;1702,929155;7,998958242;25;;
27;211,8957647;1698,1824;7,998958242;26;;
28;211,2646108;1693,249419;7,998958242;27;;
29;210,6102895;1688,130755;7,998958242;28;;
30;209,9328723;1682,826968;7,998958242;29;;
31;209,2324336;1677,338641;7,998958242;30;;
32;208,5090502;1671,666374;7,998958242;31;;
33;207,7628015;1665,81079;7,998958242;32;;
34;206,9937692;1659,772531;7,998958242;33;;
35;206,2020377;1653,55226;7,998958242;34;;
36;205,3876938;1647,150658;7,998958242;35;;
37;204,5508269;1640,568427;7,998958242;36;;
38;203,6915287;1633,806289;7,998958242;37;;
39;202,8098933;1626,864986;7,998958242;38;;
40;201,9060177;1619,745279;7,998958242;39;;
41;200,9800007;1612,447949;7,998958242;40;;
42;200,031944;1604,973796;7,998958242;41;;
43;199,0619515;1597,323639;7,998958242;42;;
44;198,0701297;1589,498317;7,998958242;43;;
45;197,0565873;1581,49869;7,998958242;44;;
46;196,0214353;1573,325633;7,998958242;45;;
47;194,9647874;1564,980043;7,998958242;46;;
48;193,8867595;1556,462835;7,998958242;47;;
49;192,7874696;1547,774944;7,998958242;48;;
50;191,6670384;1538,917322;7,998958242;49;;
51;190,5255888;1529,89094;7,998958242;50;;
52;189,3632459;1520,696789;7,998958242;51;;
53;188,1801372;1511,335876;7,998958242;52;;
54;186,9763925;1501,809227;7,998958242;53;;
55;185,7521436;1492,117889;7,998958242;54;;
56;184,5075249;1482,262923;7,998958242;55;;
57;183,242673;1472,24541;7,998958242;56;;
58;181,9577263;1462,066449;7,998958242;57;;
59;180,652826;1451,727156;7,998958242;58;;
60;179,3281151;1441,228665;7,998958242;59;;
61;177,9837388;1430,572126;7,998958242;60;;
62;176,6198445;1419,75871;7,998958242;61;;
63;175,236582;1408,7896;7,998958242;62;;
64;173,8341027;1397,666001;7,998958242;63;;
65;172,4125606;1386,389133;7,998958242;64;;
66;170,9721115;1374,960231;7,998958242;65;;
67;169,5129134;1363,380549;7,998958242;66;;
68;168,0351263;1351,651357;7,998958242;67;;
69;166,5389122;1339,773941;7,998958242;68;;
70;165,0244353;1327,749604;7,998958242;69;;
71;163,4918616;1315,579665;7,998958242;70;;
72;161,9413592;1303,265457;7,998958242;71;;
73;160,373098;1290,808331;7,998958242;72;;
74;158,7872502;1278,209654;7,998958242;73;;
75;157,1839895;1265,470807;7,998958242;74;;
76;155,5634919;1252,593186;7,998958242;75;;
77;153,9259349;1239,578205;7,998958242;76;;
78;152,2714983;1226,42729;7,998958242;77;;
79;150,6003633;1213,141883;7,998958242;78;;
80;148,9127133;1199,723441;7,998958242;79;;
81;147,2087334;1186,173437;7,998958242;80;;
82;145,4886104;1172,493355;7,998958242;81;;
83;143,7525329;1158,684696;7,998958242;82;;
84;142,0006913;1144,748974;7,998958242;83;;
85;140,2332777;1130,687718;7,998958242;84;;
86;138,450486;1116,502469;7,998958242;85;;
87;136,6525117;1102,194782;7,998958242;86;;
88;134,8395518;1087,766228;7,998958242;87;;
89;133,0118053;1073,218388;7,998958242;88;;
90;131,1694725;1058,552858;7,998958242;89;;
91;129,3127555;1043,771245;7,998958242;90;;
92;127,4418579;1028,875171;7,998958242;91;;
93;125,5569849;1013,866269;7,998958242;92;;
94;123,6583431;998,7461851;7,998958242;93;;
95;121,7461408;983,5165776;7,998958242;94;;
96;119,8205877;968,1791164;7,998958242;95;;
97;117,8818949;952,7354835;7,998958242;96;;
98;115,930275;937,1873724;7,998958242;97;;
99;113,9659421;921,5364882;7,998958242;98;;
100;111,9891115;905,7845471;7,998958242;99;;
101;110;889,9332765;7,998958242;100;;
102;107,9988258;873,9844146;7,998958242;101;;
103;105,9858083;857,9397106;7,998958242;102;;
104;103,9611683;841,8009238;7,998958242;103;;
105;101,9251277;825,569824;7,998958242;104;;
106;99,87790994;809,2481912;7,998958242;105;;
107;97,81973942;792,8378152;7,998958242;106;;
108;95,75084186;776,3404957;7,998958242;107;;
109;93,67144414;759,7580416;7,998958242;108;;
110;91,5817743;743,0922715;7,998958242;109;;
111;89,48206148;726,3450129;7,998958242;110;;
112;87,37253594;709,5181025;7,998958242;111;;
113;85,25342902;692,6133854;7,998958242;112;;
114;83,1249731;675,6327154;7,998958242;113;;
115;80,98740159;658,5779547;7,998958242;114;;
116;78,8409489;641,4509735;7,998958242;115;;
117;76,68585041;624,2536499;7,998958242;116;;
118;74,52234245;606,9878699;7,998958242;117;;
119;72,35066228;589,6555269;7,998958242;118;;
120;70,17104805;572,2585215;7,998958242;119;;
121;67,98373876;554,7987615;7,998958242;120;;
122;65,7889743;537,2781615;7,998958242;121;;
123;63,58699533;519,698643;7,998958242;122;;
124;61,37804333;502,0621336;7,998958242;123;;
125;59,16236054;484,3705675;7,998958242;124;;
126;56,94018992;466,6258846;7,998958242;125;;
127;54,71177518;448,830031;7,998958242;126;;
128;52,47736067;430,9849581;7,998958242;127;;
129;50,23719142;413,0926229;7,998958242;128;;
130;47,99151311;395,1549874;7,998958242;129;;
131;45,74057198;377,1740187;7,998958242;130;;
132;43,48461488;359,1516886;7,998958242;131;;
133;41,22388921;341,0899735;7,998958242;132;;
134;38,95864287;322,990854;7,998958242;133;;
135;36,68912428;304,8563149;7,998958242;134;;
136;34,41558231;286,6883449;7,998958242;135;;
137;32,13826628;268,4889363;7,998958242;136;;
138;29,85742594;250,2600849;7,998958242;137;;
139;27,57331138;232,0037896;7,998958242;138;;
140;25,28617311;213,7220525;7,998958242;139;;
141;22,99626192;195,4168784;7,998958242;140;;
142;20,70382893;177,0902746;7,998958242;141;;
143;18,40912553;158,7442508;7,998958242;142;;
144;16,11240337;140,380819;7,998958242;143;;
145;13,8139143;122,0019928;7,998958242;144;;
146;11,51391037;103,6097878;7,998958242;145;;
147;9,21264382;85,2062207;7,998958242;146;;
148;6,910366997;66,79330982;7,998958242;147;;
149;4,607332374;48,37307431;7,998958242;148;;
150;2,303792506;29,94753414;7,998958242;149;;
151;1,35E-14;11,51870989;7,998958242;150;;
152;-2,303792506;-6,911377517;7,947152727;151;;
153;-4,607332374;-25,34070701;7,94769922;152;;
154;-6,910366997;-43,76725762;7,948240068;153;;
155;-9,21264382;-62,18900865;7,948775388;154;;
156;-11,51391037;-80,60393995;7,949305293;155;;
157;-13,8139143;-99,01003213;7,949829893;156;;
158;-16,11240337;-117,4052667;7,950349296;157;;
159;-18,40912553;-135,7876265;7,950863607;158;;
160;-20,70382893;-154,1550957;7,951372928;159;;
161;-22,99626192;-172,50566;7,951877358;160;;
162;-25,28617311;-190,8373071;7,952376996;161;;
163;-27,57331138;-209,1480268;7,952871935;162;;
164;-29,85742594;-227,435811;7,95336227;163;;
165;-32,13826628;-245,6986543;7,953848089;164;;
166;-34,41558231;-263,934554;7,954329483;165;;
167;-36,68912428;-282,1415103;7,954806536;166;;
168;-38,95864287;-300,3175266;7,955279334;167;;
169;-41,22388921;-318,4606097;7,955747957;168;;
170;-43,48461488;-336,56877;7,956212488;169;;
171;-45,74057198;-354,6400218;7,956673004;170;;
172;-47,99151311;-372,6723833;7,957129581;171;;
173;-50,23719142;-390,663877;7,957582296;172;;
174;-52,47736067;-408,61253;7,958031221;173;;
175;-54,71177518;-426,5163741;7,958476428;174;;
176;-56,94018992;-444,3734459;7,958917988;175;;
177;-59,16236054;-462,1817871;7,959355968;176;;
178;-61,37804333;-479,9394448;7,959790436;177;;
179;-63,58699533;-497,6444718;7,960221457;178;;
180;-65,7889743;-515,2949265;7,960649096;179;;
181;-67,98373876;-532,8888733;7,961073415;180;;
182;-70,17104805;-550,4243828;7,961494476;181;;
183;-72,35066228;-567,899532;7,961912339;182;;
184;-74,52234245;-585,3124047;7,962327063;183;;
185;-76,68585041;-602,6610913;7,962738706;184;;
186;-78,8409489;-619,9436893;7,963147324;185;;
187;-80,98740159;-637,1583035;7,963552973;186;;
188;-83,1249731;-654,3030461;7,963955707;187;;
189;-85,25342902;-671,376037;7,964355578;188;;
190;-87,37253594;-688,3754039;7,96475264;189;;
191;-89,48206148;-705,2992827;7,965146943;190;;
192;-91,5817743;-722,1458176;7,965538538;191;;
193;-93,67144414;-738,9131609;7,965927472;192;;
194;-95,75084186;-755,5994742;7,966313795;193;;
195;-97,81973942;-772,2029274;7,966697554;194;;
196;-99,87790994;-788,7216999;7,967078795;195;;
197;-101,9251277;-805,1539802;7,967457562;196;;
198;-103,9611683;-821,4979662;7,967833902;197;;
199;-105,9858083;-837,7518657;7,968207857;198;;
200;-107,9988258;-853,9138964;7,968579471;199;;
201;-110;-869,9822857;7,968948785;200;;
202;-111,9891115;-885,9552717;7,969315841;201;;
203;-113,9659421;-901,8311026;7,969680679;202;;
204;-115,930275;-917,6080377;7,97004334;203;;
205;-117,8818949;-933,2843467;7,970403862;204;;
206;-119,8205877;-948,8583105;7,970762284;205;;
207;-121,7461408;-964,3282213;7,971118644;206;;
208;-123,6583431;-979,6923827;7,971472978;207;;
209;-125,5569849;-994,9491098;7,971825324;208;;
210;-127,4418579;-1010,096729;7,972175717;209;;
211;-129,3127555;-1025,133581;7,972524192;210;;
212;-131,1694725;-1040,058014;7,972870784;211;;
213;-133,0118053;-1054,868394;7,973215528;212;;
214;-134,8395518;-1069,563096;7,973558456;213;;
215;-136,6525117;-1084,140507;7,973899601;214;;
216;-138,450486;-1098,599031;7,974238997;215;;
217;-140,2332777;-1112,937081;7,974576674;216;;
218;-142,0006913;-1127,153084;7,974912665;217;;
219;-143,7525329;-1141,245483;7,975246999;218;;
220;-145,4886104;-1155,212731;7,975579709;219;;
221;-147,2087334;-1169,053298;7,975910822;220;;
222;-148,9127133;-1182,765664;7,97624037;221;;
223;-150,6003633;-1196,348327;7,976568381;222;;
224;-152,2714983;-1209,799796;7,976894883;223;;
225;-153,9259349;-1223,118598;7,977219905;224;;
226;-155,5634919;-1236,30327;7,977543474;225;;
227;-157,1839895;-1249,352369;7,977865618;226;;
228;-158,7872502;-1262,264461;7,978186364;227;;
229;-160,373098;-1275,038132;7,978505739;228;;
230;-161,9413592;-1287,671981;7,978823767;229;;
231;-163,4918616;-1300,164622;7,979140476;230;;
232;-165,0244353;-1312,514685;7,979455891;231;;
233;-166,5389122;-1324,720817;7,979770036;232;;
234;-168,0351263;-1336,781677;7,980082937;233;;
235;-169,5129134;-1348,695945;7,980394619;234;;
236;-170,9721115;-1360,462313;7,980705104;235;;
237;-172,4125606;-1372,07949;7,981014417;236;;
238;-173,8341027;-1383,546204;7,981322582;237;;
239;-175,236582;-1394,861197;7,981629621;238;;
240;-176,6198445;-1406,023227;7,981935558;239;;
241;-177,9837388;-1417,031071;7,982240415;240;;
242;-179,3281151;-1427,883521;7,982544214;241;;
243;-180,652826;-1438,579388;7,982846978;242;;
244;-181,9577263;-1449,117498;7,983148728;243;;
245;-183,242673;-1459,496697;7,983449486;244;;
246;-184,5075249;-1469,715845;7,983749273;245;;
247;-185,7521436;-1479,773822;7,98404811;246;;
248;-186,9763925;-1489,669526;7,984346019;247;;
249;-188,1801372;-1499,40187;7,984643019;248;;
250;-189,3632459;-1508,969788;7,984939131;249;;
251;-190,5255888;-1518,37223;7,985234375;250;;
252;-191,6670384;-1527,608166;7,985528771;251;;
253;-192,7874696;-1536,676583;7,985822338;252;;
254;-193,8867595;-1545,576485;7,986115097;253;;
255;-194,9647874;-1554,306898;7,986407067;254;;
256;-196,0214353;-1562,866863;7,986698266;255;;
257;-197,0565873;-1571,255442;7,986988714;256;;
258;-198,0701297;-1579,471716;7,98727843;257;;
259;-199,0619515;-1587,514783;7,987567431;258;;
260;-200,031944;-1595,38376;7,987855737;259;;
261;-200,9800007;-1603,077786;7,988143366;260;;
262;-201,9060177;-1610,596017;7,988430335;261;;
263;-202,8098933;-1617,937627;7,988716663;262;;
264;-203,6915287;-1625,101812;7,989002368;263;;
265;-204,5508269;-1632,087787;7,989287466;264;;
266;-205,3876938;-1638,894785;7,989571977;265;;
267;-206,2020377;-1645,522059;7,989855916;266;;
268;-206,9937692;-1651,968884;7,990139302;267;;
269;-207,7628015;-1658,234551;7,990422151;268;;
270;-208,5090502;-1664,318374;7,990704481;269;;
271;-209,2324336;-1670,219686;7,990986308;270;;
272;-209,9328723;-1675,93784;7,991267649;271;;
273;-210,6102895;-1681,472208;7,99154852;272;;
274;-211,2646108;-1686,822184;7,991828939;273;;
275;-211,8957647;-1691,987181;7,992108921;274;;
276;-212,5036818;-1696,966632;7,992388483;275;;
277;-213,0882954;-1701,759992;7,992667642;276;;
278;-213,6495416;-1706,366734;7,992946413;277;;
279;-214,1873586;-1710,786355;7,993224812;278;;
280;-214,7016876;-1715,018368;7,993502855;279;;
281;-215,1924722;-1719,06231;7,993780559;280;;
282;-215,6596584;-1722,917738;7,994057939;281;;
283;-216,1031952;-1726,584228;7,994335011;282;;
284;-216,5230338;-1730,061379;7,99461179;283;;
285;-216,9191282;-1733,348809;7,994888292;284;;
286;-217,2914349;-1736,446158;7,995164533;285;;
