Number;Input;Output;KotF_now;Frequency;;
1;220;0;0;0;;
2;219,9879373;0;0;1;;
3;219,8070226;1759,191902;7,996326828;2;;
4;219,0236322;1755,503534;7,996326828;3;;
5;216,9191282;1744,554432;7,996326828;4;;
6;212,5036818;1719,795744;7,996326828;5;;
7;204,5508269;1672,633481;7,996326828;6;;
8;191,6670384;1592,824316;7,996326828;7;;
9;172,4125606;1469,202185;7,996326828;8;;
10;145,4886104;1290,859162;7,996326828;9;;
11;110;1048,878392;7,996326828;10;;
12;65,7889743;738,6445076;7,996326828;11;;
13;13,8139143;362,6225801;7,996326828;12;;
14;-43,48461488;-66,70774235;6,929815031;13;;
15;-101,9251277;-524,3404413;7,09336472;14;;
16;-155,5634919;-971,5139655;7,270956648;15;;
17;-197,0565873;-1356,841952;7,471489361;16;;
18;-218,5420084;-1620,901287;7,707569913;17;;
19;-213,0882954;-1705,035794;7,89942042;18;;
20;-176,6198445;-1564,286273;7,89942042;19;;
21;-110;-1182,947829;7,89942042;20;;
22;-20,70382893;-589,4351603;7,89942042;21;;
23;76,68585041;134,6319149;7,89942042;22;;
24;161,9413592;857,119159;7,89942042;23;;
25;213,0882954;1414,86311;7,89942042;24;;
26;212,5036818;1651,220973;7,89942042;25;;
27;153,9259349;1466,30308;7,89942042;26;;
28;47,99151311;866,247539;7,89942042;27;;
29;-76,68585041;-8,842927409;7,89942042;28;;
30;-179,3281151;-899,3784984;7,89942042;29;;
31;-220;-1494,670196;7,873244765;30;;
32;-176,6198445;-1545,807493;7,873244765;31;;
33;-59,16236054;-986,5089758;7,873244765;32;;
34;87,37253594;-4,61678239;7,873244765;33;;
35;197,0565873;991,1815963;7,873244765;34;;
36;212,5036818;1528,557025;7,873244765;35;;
37;117,8818949;1306,095212;7,873244765;36;;
38;-43,48461488;392,2109069;7,873244765;37;;
39;-183,242673;-745,5426416;7,873244765;38;;
40;-214,7016876;-1452,019384;7,873244765;39;;
41;-110;-1267,347736;7,873244765;40;;
42;70,17104805;-264,0174954;7,873244765;41;;
43;204,5508269;918,7164517;7,873244765;42;;
44;191,6670384;1450,491683;7,873244765;43;;
45;32,13826628;908,1050074;7,873244765;44;;
46;-155,5634919;-334,1721301;7,873244765;45;;
47;-216,9191282;-1302,228722;7,873244765;46;;
48;-91,5817743;-1172,647974;7,873244765;47;;
49;117,8818949;-20,13687147;7,873244765;48;;
50;219,9879373;1142,015659;7,873244765;49;;
51;110;1217,845707;7,873244765;50;;
52;-111,9891115;102,0314914;7,873244765;51;;
53;-219,8070226;-1105,195425;7,873244765;52;;
54;-91,5817743;-1137,737277;7,873244765;53;;
55;140,2332777;66,38076547;7,873244765;54;;
56;212,5036818;1179,132786;7,873244765;55;;
57;32,13826628;906,2973882;7,873244765;56;;
58;-189,3632459;-448,5345031;7,873244765;57;;
59;-172,4125606;-1225,601714;7,873244765;58;;
60;70,17104805;-425,9167356;7,873244765;59;;
61;220;918,1005835;7,873244765;60;;
62;65,7889743;993,3269452;7,873244765;61;;
63;-183,242673;-315,6037689;7,873244765;62;;
64;-165,0244353;-1144,036786;7,873244765;63;;
65;101,9251277;-270,615468;7,873244765;64;;
66;212,5036818;990,765675;7,873244765;65;;
67;-13,8139143;684,1805159;7,873244765;66;;
68;-218,5420084;-703,1060948;7,873244765;67;;
69;-59,16236054;-906,0893817;7,873244765;68;;
70;201,9060177;411,5949806;7,873244765;69;;
71;110;986,5556924;7,873244765;70;;
72;-179,3281151;-185,4064426;7,873244765;71;;
73;-140,2332777;-988,9174562;7,873244765;72;;
74;161,9413592;47,73748837;7,873244765;73;;
75;153,9259349;961,2945394;7,873244765;74;;
76;-155,5634919;1,465196461;7,873244765;75;;
77;-153,9259349;-928,4682803;7,873244765;76;;
78;161,9413592;30,42414007;7,873244765;77;;
79;140,2332777;892,8312536;7,873244765;78;;
80;-179,3281151;-134,6712678;7,873244765;79;;
81;-110;-837,7510674;7,873244765;80;;
82;201,9060177;298,2959555;7,873244765;81;;
83;59,16236054;732,3674951;7,873244765;82;;
84;-218,5420084;-494,7749345;7,873244765;83;;
85;13,8139143;-541,2080076;7,873244765;84;;
86;212,5036818;672,9144616;7,873244765;85;;
87;-101,9251277;243,6244487;7,873244765;86;;
88;-165,0244353;-753,3694427;7,873244765;87;;
89;183,242673;135,9722581;7,873244765;88;;
90;65,7889743;647,8594807;7,873244765;89;;
91;-220;-499,3904042;7,873244765;90;;
92;70,17104805;-313,5268335;7,873244765;91;;
93;172,4125606;680,1633866;7,873244765;92;;
94;-189,3632459;-170,0442539;7,873244765;93;;
95;-32,13826628;-524,2302423;7,873244765;94;;
96;212,5036818;564,2366823;7,873244765;95;;
97;-140,2332777;44,43966809;7,873244765;96;;
98;-91,5817743;-574,5232486;7,873244765;97;;
99;219,8070226;464,2494899;7,873244765;98;;
100;-111,9891115;119,8828477;7,873244765;99;;
101;-110;-556,1603118;7,873244765;100;;
102;219,9879373;437,9626376;7,873244765;101;;
103;-117,8818949;78,4362322;7,873244765;102;;
104;-91,5817743;-499,9848446;7,873244765;103;;
105;216,9191282;475,0492948;7,873244765;104;;
106;-155,5634919;-63,07835727;7,873244765;105;;
107;-32,13826628;-378,3244126;7,873244765;106;;
108;191,6670384;514,6898631;7,873244765;107;;
109;-204,5508269;-275,3404585;7,873244765;108;;
110;70,17104805;-141,3012501;7,873244765;109;;
111;110;445,9623172;7,873244765;110;;
112;-214,7016876;-458,6357025;7,873244765;111;;
113;183,242673;198,8656289;7,873244765;112;;
114;-43,48461488;161,0878717;7,873244765;113;;
115;-117,8818949;-418,7387513;7,873244765;114;;
116;212,5036818;452,8844276;7,873244765;115;;
117;-197,0565873;-268,5971986;7,873244765;116;;
118;87,37253594;-29,17593622;7,873244765;117;;
119;59,16236054;301,7104627;7,873244765;118;;
120;-176,6198445;-441,6197606;7,873244765;119;;
121;220;409,3028269;7,873244765;120;;
122;-179,3281151;-233,9323048;7,873244765;121;;
123;76,68585041;-11,24094354;7,873244765;122;;
124;47,99151311;242,6954886;7,873244765;123;;
125;-153,9259349;-395,0433499;7,873244765;124;;
126;212,5036818;436,2284355;7,873244765;125;;
127;-213,0882954;-368,7680714;7,873244765;126;;
128;161,9413592;221,0042321;7,873244765;127;;
129;-76,68585041;-34,00761959;7,873244765;128;;
130;-20,70382893;-150,9315078;7,873244765;129;;
131;110;301,2026628;7,873244765;130;;
132;-176,6198445;-397,1832071;7,873244765;131;;
133;213,0882954;432,4936482;7,873244765;132;;
134;-218,5420084;-411,5229919;7,873244765;133;;
135;197,0565873;345,6886192;7,873244765;134;;
136;-155,5634919;-249,6262141;7,873244765;135;;
137;101,9251277;138,0666226;7,873244765;136;;
138;-43,48461488;-23,72656822;7,873244765;137;;
139;-13,8139143;-83,78437411;7,873244765;138;;
140;65,7889743;178,2295394;7,873244765;139;;
141;-110;-256,4469914;7,873244765;140;;
142;145,4886104;317,7434158;7,873244765;141;;
143;-172,4125606;-363,1844113;7,873244765;142;;
144;191,6670384;394,9190823;7,873244765;143;;
145;-204,5508269;-415,6147529;7,873244765;144;;
146;212,5036818;428,0292849;7,873244765;145;;
147;-216,9191282;-434,7162942;7,873244765;146;;
148;219,0236322;437,8408262;7,873244765;147;;
149;-219,8070226;-439,076322;7,873244765;148;;
150;219,9879373;439,5543134;7,873244765;149;;
151;-220;-439,8432108;7,873244765;150;;
152;219,9879373;439,9396863;7,873244765;151;;
153;-219,8070226;-439,2642787;7,873244765;152;;
154;219,0236322;436,6613982;7,873244765;153;;
155;-216,9191282;-430,4126386;7,873244765;154;;
156;212,5036818;418,2809749;7,873244765;155;;
157;-204,5508269;-397,6113904;7,873244765;156;;
158;191,6670384;365,5193549;7,873244765;157;;
159;-172,4125606;-319,199954;7,873244765;158;;
160;145,4886104;256,3837981;7,873244765;159;;
161;-110;-175,9467295;7,873244765;160;;
162;65,7889743;78,64450756;7,873244765;161;;
163;-13,8139143;32,1112657;7,873244765;162;;
164;-43,48461488;-149,5912281;7,873244765;163;;
165;101,9251277;263,432752;7,873244765;164;;
166;-155,5634919;-359,9631991;7,873244765;165;;
167;197,0565873;423,4610012;7,873244765;166;;
168;-218,5420084;-438,5617638;7,873244765;167;;
169;213,0882954;393,7837437;7,873244765;168;;
170;-176,6198445;-285,7565003;7,873244765;169;;
171;110;123,2287618;7,873244765;170;;
172;-20,70382893;70,56483974;7,873244765;171;;
173;-76,68585041;-258,8548884;7,873244765;172;;
174;161,9413592;397,0040565;7,873244765;173;;
175;-213,0882954;-443,2149547;7,873244765;174;;
176;212,5036818;372,6912;7,873244765;175;;
177;-153,9259349;-191,2809897;7,873244765;176;;
178;47,99151311;-57,30807053;7,873244765;177;;
179;76,68585041;296,7920061;7,873244765;178;;
180;-179,3281151;-439,2633959;7,873244765;179;;
181;220;418,7015052;7,873244765;180;;
182;-176,6198445;-225,8074932;7,873244765;181;;
183;59,16236054;-73,21009148;7,873244765;182;;
184;87,37253594;350,3573808;7,873244765;183;;
185;-197,0565873;-466,9463807;7,873244765;184;;
186;212,5036818;346,2175013;7,873244765;185;;
187;-117,8818949;-31,07312148;7,873244765;186;;
188;-43,48461488;-315,0804624;7,873244765;187;;
189;183,242673;484,6349523;7,873244765;188;;
190;-214,7016876;-352,5633465;7,873244765;189;;
191;110;-20,86238992;7,873244765;190;;
192;70,17104805;395,9825046;7,873244765;191;;
193;-204,5508269;-497,6901634;7,873244765;192;;
194;191,6670384;223,1867211;7,873244765;193;;
195;-32,13826628;241,8972233;7,873244765;194;;
196;-155,5634919;-527,0017278;7,873244765;195;;
197;216,9191282;368,8477708;7,873244765;196;;
198;-91,5817743;128,8667954;7,873244765;197;;
199;-117,8818949;-529,3537743;7,873244765;198;;
200;219,9879373;434,7242901;7,873244765;199;;
201;-110;102,0819169;7,873244765;200;;
202;-111,9891115;-557,9685086;7,873244765;201;;
203;219,8070226;433,2607561;7,873244765;202;;
204;-91,5817743;181,1048592;7,873244765;203;;
205;-140,2332777;-615,8714112;7,873244765;204;;
206;212,5036818;337,7331196;7,873244765;205;;
207;-32,13826628;368,7247025;7,873244765;206;;
208;-189,3632459;-641,3641008;7,873244765;207;;
209;172,4125606;89,42223834;7,873244765;208;;
210;70,17104805;608,5586281;7,873244765;209;;
211;-220;-497,0742953;7,873244765;210;;
212;65,7889743;-326,6730548;7,873244765;211;;
213;183,242673;710,3376147;7,873244765;212;;
214;-165,0244353;-44,58074811;7,873244765;213;;
215;-101,9251277;-719,5311439;7,873244765;214;;
216;212,5036818;379,2149086;7,873244765;215;;
217;13,8139143;590,8415748;7,873244765;216;;
218;-218,5420084;-620,2226091;7,873244765;217;;
219;59,16236054;-405,1626689;7,873244765;218;;
220;201,9060177;766,5691438;7,873244765;219;;
221;-110;224,8804135;7,873244765;220;;
222;-179,3281151;-845,4064426;7,873244765;221;;
223;140,2332777;-87,0512342;7,873244765;222;;
224;161,9413592;889,1371548;7,873244765;223;;
225;-153,9259349;10,35361559;7,873244765;224;;
226;-155,5634919;-922,090413;7,873244765;225;;
227;153,9259349;-4,912670844;7,873244765;226;;
228;161,9413592;953,9797495;7,873244765;227;;
229;-140,2332777;78,81690143;7,873244765;228;;
230;-179,3281151;-976,0709343;7,873244765;229;;
231;110;-238,2176229;7,873244765;230;;
232;201,9060177;958,2959555;7,873244765;231;;
233;-59,16236054;479,0686108;7,873244765;232;;
234;-218,5420084;-849,7490977;7,873244765;233;;
235;-13,8139143;-770,044043;7,873244765;234;;
236;212,5036818;590,0309758;7,873244765;235;;
237;101,9251277;1031,397642;7,873244765;236;;
238;-165,0244353;-141,8186763;7,873244765;237;;
239;-183,242673;-1126,11887;7,873244765;238;;
240;65,7889743;-451,596557;7,873244765;239;;
241;220;894,1242499;7,873244765;240;;
242;70,17104805;1006,473166;7,873244765;241;;
243;-172,4125606;-259,1370983;7,873244765;242;;
244;-189,3632459;-1204,519618;7,873244765;243;;
245;32,13826628;-611,9492333;7,873244765;244;;
246;212,5036818;757,06628;7,873244765;245;;
247;140,2332777;1230,582423;7,873244765;246;;
248;-91,5817743;266,8764178;7,873244765;247;;
249;-219,8070226;-1013,740136;7,873244765;248;;
250;-111,9891115;-1198,959288;7,873244765;249;;
251;110;-115,774357;7,873244765;250;;
252;219,9879373;1097,962638;7,873244765;251;;
253;117,8818949;1241,491391;7,873244765;252;;
254;-91,5817743;207,3065248;7,873244765;253;;
255;-216,9191282;-1024,539941;7,873244765;254;;
256;-155,5634919;-1364,593126;7,873244765;255;;
257;32,13826628;-555,0565386;7,873244765;256;;
258;191,6670384;707,5194608;7,873244765;257;;
259;204,5508269;1425,342689;7,873244765;258;;
260;70,17104805;1086,003711;7,873244765;259;;
261;-110;-24,93602897;7,873244765;260;;
262;-214,7016876;-1118,635702;7,873244765;261;;
263;-183,242673;-1487,075755;7,873244765;262;;
264;-43,48461488;-938,368166;7,873244765;263;;
265;117,8818949;157,831062;7,873244765;264;;
266;212,5036818;1160,175797;7,873244765;265;;
267;197,0565873;1543,619289;7,873244765;266;;
268;87,37253594;1153,163587;7,873244765;267;;
269;-59,16236054;222,5247529;7,873244765;268;;
270;-176,6198445;-796,5939238;7,873244765;269;;
271;-220;-1469,021894;7,873244765;270;;
272;-179,3281151;-1553,932305;7,873244765;271;;
273;-76,68585041;-1064,727747;7,873244765;272;;
274;47,99151311;-217,4196139;7,873244765;273;;
275;153,9259349;682,9924286;7,873244765;274;;
276;212,5036818;1359,784045;7,873244765;275;;
277;213,0882954;1643,790162;7,873244765;276;;
278;161,9413592;1499,534005;7,873244765;277;;
279;76,68585041;1005,655775;7,873244765;278;;
280;-20,70382893;309,1835947;7,873244765;279;;
281;-110;-425,4256364;7,873244765;280;;
282;-176,6198445;-1057,183207;7,873244765;281;;
283;-213,0882954;-1492,212715;7,873244765;282;;
284;-218,5420084;-1690,052765;7,873244765;283;;
285;-197,0565873;-1656,94067;7,873244765;284;;
286;-155,5634919;-1431,965738;7,873244765;285;;
287;-101,9251277;-1071,447574;7,873244765;286;;
288;-43,48461488;-635,2773346;7,873244765;287;;
289;13,8139143;-177,1233152;7,873244765;288;;
